MatKhau,HoVaTen,NgaySinh,GioiTinh,SoDienThoai,CCCD,ChuyenNganh,KhoaTuyenSinh
TDTUer2021,Nguyễn Văn Anh,2003-01-05,Nam,0901234567,079999999999,Khoa học máy tính,2021
TDTUer2021,Trần Thị Bình,2003-02-13,Nữ,0912345678,079999999999,Mạng máy tính và truyền thông dữ liệu,2021
TDTUer2021,Lê Huy Hoàng,2003-03-21,Nam,0923456789,079999999999,Mạng máy tính và truyền thông dữ liệu,2021
TDTUer2021,Phạm Minh Châu,2003-04-08,Nữ,0934567890,079999999999,Mạng máy tính và truyền thông dữ liệu,2021
TDTUer2021,Đặng Quang Minh,2003-05-17,Nam,0945678901,079999999999,Kỹ thuật phần mềm,2021
TDTUer2021,Vũ Thị Lan,2003-06-24,Nữ,0956789012,079999999999,Khoa học máy tính,2021
TDTUer2021,Hoàng Đức Trí,2003-07-02,Nam,0967890123,079999999999,Kỹ thuật phần mềm,2021
TDTUer2021,Lý Thị Hà,2003-08-11,Nữ,0978901234,079999999999,Mạng máy tính và truyền thông dữ liệu,2021
TDTUer2021,Ngô Văn Đông,2003-09-19,Nam,0989012345,079999999999,Khoa học máy tính,2021
TDTUer2021,Trần Thanh Hương,2003-10-26,Nữ,0990123456,079999999999,Kỹ thuật phần mềm,2021
TDTUer2021,Bùi Đức Long,2003-11-03,Nam,0865432109,079999999999,Mạng máy tính và truyền thông dữ liệu,2021
TDTUer2021,Đinh Thị Mai,2003-12-14,Nữ,0876543210,079999999999,Khoa học máy tính,2021
TDTUer2021,Nguyễn Trung Kiên,2003-02-28,Nam,0887654321,079999999999,Mạng máy tính và truyền thông dữ liệu,2021
TDTUer2021,Lê Thị Kim Ngân,2003-09-04,Nữ,0898765432,079999999999,Kỹ thuật phần mềm,2021
TDTUer2021,Phan Văn Tuấn,2003-06-15,Nam,0819876543,079999999999,Kỹ thuật phần mềm,2021
TDTUer2021,Trương Minh Tuệ,2003-08-22,Nữ,0820987654,079999999999,Khoa học máy tính,2021
TDTUer2021,Hoàng Thị Thu,2003-10-10,Nữ,0832098765,079999999999,Mạng máy tính và truyền thông dữ liệu,2021
TDTUer2021,Võ Minh Đức,2003-11-27,Nam,0843209876,079999999999,Khoa học máy tính,2021
TDTUer2021,Nguyễn Thị Thảo,2003-01-30,Nữ,0854310987,079999999999,Mạng máy tính và truyền thông dữ liệu,2021
TDTUer2021,Lâm Văn Đức,2003-07-07,Nam,0805421098,079999999999,Khoa học máy tính,2021
